mobile,review_rating,Brand_x,Model_x,Brand_y,Model_y
https://gadgets.ndtv.com/alcatel-onetouch-idol-3-4-7-2451,0.0,Alcatel,OneTouch Idol 3 (4.7),Alcatel,OneTouch Idol 3 (4.7)
https://gadgets.ndtv.com/alcatel-orange-klif-2473,0.0,Alcatel,Orange Klif,Alcatel,Orange Klif
https://gadgets.ndtv.com/alcatel-onetouch-pixi-3-5-5-4g-2472,0.0,Alcatel,OneTouch Pixi 3 (5.5) 4G,Alcatel,OneTouch Pixi 3 (5.5) 4G
https://gadgets.ndtv.com/alcatel-onetouch-pixi-3-5-5-3g-2471,0.0,Alcatel,OneTouch Pixi 3 (5.5) 3G,Alcatel,OneTouch Pixi 3 (5.5) 3G
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-4-5-2293,0.0,Alcatel,One Touch Pop 2 (4.5),Alcatel,One Touch Pop 2 (4.5)
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-5-premium-edition-2292,0.0,Alcatel,One Touch Pop 2 (5) Premium Edition,Alcatel,One Touch Pop 2 (5) Premium Edition
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-5-nfc-2291,0.0,Alcatel,One Touch Pop 2 (5) NFC,Alcatel,One Touch Pop 2 (5) NFC
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-5-dual-sim-2290,0.0,Alcatel,One Touch Pop 2 (5) Dual-SIM,Alcatel,One Touch Pop 2 (5) Dual-SIM
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-5-2289,0.0,Alcatel,One Touch Pop 2 (5),Alcatel,One Touch Pop 2 (5)
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-4-dual-sim-2288,0.0,Alcatel,One Touch Pop 2 (4) Dual-SIM,Alcatel,One Touch Pop 2 (4) Dual-SIM
https://gadgets.ndtv.com/alcatel-one-touch-pop-2-4-2286,0.0,Alcatel,One Touch Pop 2 (4),Alcatel,One Touch Pop 2 (4)
https://gadgets.ndtv.com/alcatel-one-touch-hero-2c-2271,0.0,Alcatel,One Touch Hero 2C,Alcatel,One Touch Hero 2C
https://gadgets.ndtv.com/alcatel-one-touch-hero-2-1963,0.0,Alcatel,One Touch Hero 2,Alcatel,One Touch Hero 2
https://gadgets.ndtv.com/alcatel-one-touch-flash-1925,4.443101973850217,Alcatel,One Touch Flash,Alcatel,One Touch Flash
https://gadgets.ndtv.com/alcatel-one-touch-20-05-1880,4.375,Alcatel,One Touch 20.05,Alcatel,One Touch 20.05
https://gadgets.ndtv.com/alcatel-one-touch-tribe-3040-1879,0.0,Alcatel,One Touch Tribe 3040,Alcatel,One Touch Tribe 3040
https://gadgets.ndtv.com/alcatel-one-touch-idol-x-1200,3.539658597342064,Alcatel,One Touch Idol X+,Alcatel,One Touch Idol X+
https://gadgets.ndtv.com/alcatel-onetouch-pop-s9-1328,3.8435871318224257,Alcatel,OneTouch Pop S9,Alcatel,OneTouch Pop S9
https://gadgets.ndtv.com/alcatel-onetouch-pop-s7-1327,0.0,Alcatel,OneTouch Pop S7,Alcatel,OneTouch Pop S7
https://gadgets.ndtv.com/alcatel-onetouch-pop-s3-1326,0.0,Alcatel,OneTouch Pop S3,Alcatel,OneTouch Pop S3
https://gadgets.ndtv.com/alcatel-one-touch-fire-s-1305,0.0,Alcatel,One Touch Fire S ,Alcatel,One Touch Fire S 
https://gadgets.ndtv.com/alcatel-one-touch-fire-e-1304,0.0,Alcatel,One Touch Fire E,Alcatel,One Touch Fire E
https://gadgets.ndtv.com/alcatel-one-touch-fire-c-1301,0.0,Alcatel,One Touch Fire C,Alcatel,One Touch Fire C
https://gadgets.ndtv.com/alcatel-one-touch-pop-fit-1299,0.0,Alcatel,One Touch Pop Fit,Alcatel,One Touch Pop Fit
https://gadgets.ndtv.com/alcatel-one-touch-idol-2-mini-1298,0.0,Alcatel,One Touch Idol 2 Mini,Alcatel,One Touch Idol 2 Mini
https://gadgets.ndtv.com/alcatel-one-touch-idol-2-1297,0.0,Alcatel,One Touch Idol 2,Alcatel,One Touch Idol 2
https://gadgets.ndtv.com/alcatel-one-touch-pop-c9-1210,0.0,Alcatel,One Touch POP C9,Alcatel,One Touch POP C9
https://gadgets.ndtv.com/alcatel-one-touch-pop-c7-1024,0.0,Alcatel,One Touch Pop C7,Alcatel,One Touch Pop C7
https://gadgets.ndtv.com/alcatel-one-touch-pop-c5-1023,0.0,Alcatel,One Touch Pop C5,Alcatel,One Touch Pop C5
https://gadgets.ndtv.com/alcatel-one-touch-pop-c3-1022,0.0,Alcatel,One Touch Pop C3,Alcatel,One Touch Pop C3
https://gadgets.ndtv.com/alcatel-one-touch-pop-c1-1021,1.79491341991342,Alcatel,One Touch Pop C1,Alcatel,One Touch Pop C1
https://gadgets.ndtv.com/alcatel-one-touch-hero-1017,0.0,Alcatel,One Touch Hero,Alcatel,One Touch Hero
https://gadgets.ndtv.com/alcatel-one-touch-idol-x-1015,0.0,Alcatel,One Touch Idol X,Alcatel,One Touch Idol X
https://gadgets.ndtv.com/alcatel-one-touch-idol-alpha-1014,0.0,Alcatel,One Touch Idol ALPHA,Alcatel,One Touch Idol ALPHA
https://gadgets.ndtv.com/alcatel-one-touch-idol-mini-1005,-0.5,Alcatel,One Touch Idol Mini,Alcatel,One Touch Idol Mini
https://gadgets.ndtv.com/alcatel-one-touch-idol-s-1004,0.0,Alcatel,One Touch Idol S,Alcatel,One Touch Idol S
https://gadgets.ndtv.com/alcatel-one-touch-idol-1,0.0,Alcatel,One Touch Idol,Alcatel,One Touch Idol
https://gadgets.ndtv.com/alcatel-one-touch-idol-ultra-2,0.0,Alcatel,One Touch Idol Ultra,Alcatel,One Touch Idol Ultra
